[2023-10-30 14:50:43,693] INFO - TPE using 133/133 trials with best loss -1.000000
[2023-10-30 14:50:43,877] INFO - build_posterior_wrapper took 0.001657 seconds
[2023-10-30 14:50:43,877] INFO - TPE using 134/134 trials with best loss -1.000000
[2023-10-30 14:50:51,946] INFO - build_posterior_wrapper took 0.001768 seconds
[2023-10-30 14:50:51,949] INFO - TPE using 135/135 trials with best loss -1.000000
[2023-10-30 14:50:52,791] INFO - build_posterior_wrapper took 0.001671 seconds
[2023-10-30 14:50:52,791] INFO - TPE using 136/136 trials with best loss -1.000000
[2023-10-30 14:50:52,840] INFO - build_posterior_wrapper took 0.001731 seconds
[2023-10-30 14:50:52,840] INFO - TPE using 137/137 trials with best loss -1.000000
[2023-10-30 14:50:57,340] INFO - build_posterior_wrapper took 0.001730 seconds
[2023-10-30 14:50:57,340] INFO - TPE using 138/138 trials with best loss -1.000000
[2023-10-30 14:50:58,541] INFO - build_posterior_wrapper took 0.001656 seconds
[2023-10-30 14:50:58,541] INFO - TPE using 139/139 trials with best loss -1.000000
[2023-10-30 14:51:00,376] INFO - build_posterior_wrapper took 0.001673 seconds
[2023-10-30 14:51:00,376] INFO - TPE using 140/140 trials with best loss -1.000000
[2023-10-30 14:51:03,300] INFO - build_posterior_wrapper took 0.001768 seconds
[2023-10-30 14:51:03,300] INFO - TPE using 141/141 trials with best loss -1.000000
[2023-10-30 14:51:05,266] INFO - build_posterior_wrapper took 0.001743 seconds
[2023-10-30 14:51:05,266] INFO - TPE using 142/142 trials with best loss -1.000000
[2023-10-30 14:51:05,315] INFO - build_posterior_wrapper took 0.001713 seconds
[2023-10-30 14:51:05,316] INFO - TPE using 143/143 trials with best loss -1.000000
[2023-10-30 14:51:06,076] INFO - build_posterior_wrapper took 0.001766 seconds
[2023-10-30 14:51:06,076] INFO - TPE using 144/144 trials with best loss -1.000000
[2023-10-30 14:51:10,501] INFO - build_posterior_wrapper took 0.001851 seconds
[2023-10-30 14:51:10,501] INFO - TPE using 145/145 trials with best loss -1.000000
[2023-10-30 14:51:11,942] INFO - build_posterior_wrapper took 0.001663 seconds
[2023-10-30 14:51:11,942] INFO - TPE using 146/146 trials with best loss -1.000000
[2023-10-30 14:51:13,310] INFO - build_posterior_wrapper took 0.001658 seconds
[2023-10-30 14:51:13,310] INFO - TPE using 147/147 trials with best loss -1.000000
[2023-10-30 14:51:14,677] INFO - build_posterior_wrapper took 0.001649 seconds
[2023-10-30 14:51:14,678] INFO - TPE using 148/148 trials with best loss -1.000000
[2023-10-30 14:51:16,043] INFO - build_posterior_wrapper took 0.001704 seconds
[2023-10-30 14:51:16,043] INFO - TPE using 149/149 trials with best loss -1.000000
[2023-10-30 14:51:17,460] INFO - build_posterior_wrapper took 0.041999 seconds
[2023-10-30 14:51:17,460] INFO - TPE using 150/150 trials with best loss -1.000000
[2023-10-30 14:51:18,833] INFO - build_posterior_wrapper took 0.001703 seconds
[2023-10-30 14:51:18,833] INFO - TPE using 151/151 trials with best loss -1.000000
[2023-10-30 14:51:19,741] INFO - build_posterior_wrapper took 0.001675 seconds
[2023-10-30 14:51:19,741] INFO - TPE using 152/152 trials with best loss -1.000000
[2023-10-30 14:51:21,474] INFO - build_posterior_wrapper took 0.001665 seconds
[2023-10-30 14:51:21,475] INFO - TPE using 153/153 trials with best loss -1.000000
[2023-10-30 14:51:22,944] INFO - build_posterior_wrapper took 0.001666 seconds
[2023-10-30 14:51:22,945] INFO - TPE using 154/154 trials with best loss -1.000000
[2023-10-30 14:51:24,351] INFO - build_posterior_wrapper took 0.001670 seconds
[2023-10-30 14:51:24,351] INFO - TPE using 155/155 trials with best loss -1.000000
[2023-10-30 14:51:25,723] INFO - build_posterior_wrapper took 0.001681 seconds
[2023-10-30 14:51:25,723] INFO - TPE using 156/156 trials with best loss -1.000000
