[2023-07-19 14:50:27,434] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/gnu-free/FreeSerifItalic.ttf', name='FreeSerif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
[2023-07-19 14:50:27,434] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/dejavu/DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
[2023-07-19 14:50:27,434] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/liberation/LiberationMono-BoldItalic.ttf', name='Liberation Mono', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
[2023-07-19 14:50:27,434] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/dejavu/DejaVuLGCSansMono-Bold.ttf', name='DejaVu LGC Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2023-07-19 14:50:27,434] DEBUG - findfont: score(FontEntry(fname='/software/miniconda3/4.10.3/fonts/UbuntuMono-BI.ttf', name='Ubuntu Mono', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
[2023-07-19 14:50:27,434] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/gnu-free/FreeSans.ttf', name='FreeSans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2023-07-19 14:50:27,434] DEBUG - findfont: score(FontEntry(fname='/software/miniconda3/4.10.3/fonts/SourceCodePro-Medium.ttf', name='Source Code Pro', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
[2023-07-19 14:50:27,434] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/dejavu/DejaVuLGCSansMono-Oblique.ttf', name='DejaVu LGC Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
[2023-07-19 14:50:27,435] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/dejavu/DejaVuSansCondensed-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='condensed', size='scalable')) = 1.25
[2023-07-19 14:50:27,435] DEBUG - findfont: score(FontEntry(fname='/software/miniconda3/4.10.3/fonts/Ubuntu-LI.ttf', name='Ubuntu', style='italic', variant='normal', weight=300, stretch='normal', size='scalable')) = 11.145
[2023-07-19 14:50:27,435] DEBUG - findfont: score(FontEntry(fname='/software/miniconda3/4.10.3/fonts/SourceCodePro-ExtraLightIt.ttf', name='Source Code Pro', style='italic', variant='normal', weight=200, stretch='normal', size='scalable')) = 11.24
[2023-07-19 14:50:27,435] DEBUG - findfont: score(FontEntry(fname='/software/miniconda3/4.10.3/fonts/Ubuntu-RI.ttf', name='Ubuntu', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
[2023-07-19 14:50:27,435] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/gnu-free/FreeMonoBold.ttf', name='FreeMono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2023-07-19 14:50:27,435] DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/dejavu/DejaVuSans-ExtraLight.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=200, stretch='normal', size='scalable')) = 0.24
